word,definition,appearance,hateful,offensive,sentiment,violent
Order,"“The Order was an American white supremacist terrorist group from the early to mid-1980s which committed assassinations, armoured car robberies and bombings for several years before being brought down by law enforcement.” [1]",44,0.5611818181818181,0.5621363636363635,0.8872499999999998,0.32090909090909087
PBUH,“Acronym for ‘Peace Be Upon Him’: A blessing which is affixed to the Prophet Muhammad’s name whenever it is written in English.” [2],1,0.432,0.4709999999999999,0.761,0.498
PENI,"Standing for Public Enemy Number 1 it “is a large white supremacist gang based in the prisons and on the streets of California. Its most common symbol is simply a shortened version of its own name, such as PENI or PEN1. Members may also refer to the gang as the Peni Death Squad or PDS, thus PDS is also a common tattoo.” [1]",2,0.486,0.535,0.9475,0.182
RAN,"Radicalisation Awareness Network is a network that brings together frontline or grassroot practitioners involved in the subject of radicalisation prevention and violent extremism through Europe. Practitioners include police and prison authorities, but also the non-traditionally actors involved in counter-terrorism, such as teachers, youth workers, civil society representatives, local authorities’ representatives and healthcare professionals. There are several working groups within RAN, but there’s a need to highlight the Prison and Probation Group that seeks to support practitioners in the prison and probation sector who have a role in preventing radicalisation. [35]",8,0.594,0.5157499999999999,0.765875,0.24249999999999997
SAW,“Acronym for the Arabic phrase ‘Sallallahu alayhi wa sallam’ meaning ‘May Allah bless him and grant him peace’. The expression is used by many Muslims after stating the Prophet Muhammad’s name.” [2],15,0.6947333333333333,0.46993333333333326,0.8609333333333333,0.27126666666666666
Shia,"“‘Party’ or ‘sect’: The term applies to a number of groups or divisions within Islam that believe that temporal and spiritual authority passed from the Prophet Muhammad to his immediate descendants. The Shia make up less than 20% of the worldwide Muslim population, primarily located in Iran, Iraq, and the Levant. They differ from the main Sunni population over a number of matters of doctrine, and are disliked by many religiously conservative Sunni Muslims.” [2]",2,0.7935000000000001,0.43099999999999994,0.9485,0.2519999999999999
SJW,"“Short for ‘Social Justice Warrior’ and is used by the right as an epithet for someone who advocates liberal causes like feminism, racial justice or LGBTQ rights. It is also sometimes used to imply that a person’s online advocacy of a cause is insincere or done for appearances. It became widely used during ‘GamerGate’, a controversy that began in 2014 over sexism in video game subcultures. (One specialist actually said that) the right used the phrase ‘to rhetorically address the fact that the left sometimes calls anyone who disagrees with it Nazis’. He said the alt-right had created the term so its followers had a similar blanket term to deride the left.” [3]",2,0.7324999999999999,0.444,0.7894999999999999,0.38099999999999995
Stormfront,“Oldest and largest white supremacist website on the Internet. Its logo consists of a squarish Celtic Cross encircled by the phrase ‘White Pride World Wide’.” [1],2,0.5685,0.49149999999999994,0.7585,0.14600000000000002
Supremacy,"“A set of beliefs whereby one group is deemed superior to another and thus justified in assuming a dominant hierarchical relationship. Prejudice facilitates supremacy, but they are distinct, though linked, phenomena. Racism, sexism, heterosexism, and antisemitism are the major forms of supremacy in the U.S., but there are others based on ability, language, ethnicity, immigrant status, size, religion, and more.” [15]",3,0.6766666666666666,0.4846666666666666,0.9186666666666667,0.2336666666666667
Surah,"“A chapter, specifically one of the 114 chapters that make up the Qur’an.” [2]",1,0.4289999999999999,0.503,0.906,0.529
Terrorist,"Individual who participates in doing, planning or financing violent acts targeting people. [28]",18,0.5952777777777779,0.5631666666666666,0.8793333333333331,0.4591111111111111
White genocide,"“White nationalist belief that white people, as a race, are endangered and face extinction as a result of non-white immigration and marriage between the races, a process being manipulated by Jews. (…) It is the underlying concept behind far-right, anti-immigration arguments, especially those aimed at immigrants who are not white Christians. The concept was popularised by Bob Whitaker, a former economics professor and Reagan appointee to the Office of Personnel Management, who wrote a 221-word ‘mantra’ on the subject that ended with the rallying cry: ‘Anti-racist is code word for anti-white’. (…) The concept of white genocide was often communicated online through a white supremacist saying called the Fourteen Words: ‘We must secure the existence of our people and a future for white children’.” [3]",4,0.6092500000000001,0.46975,0.9465,0.33725
White Knight,"“Texas-based white supremacist prison gang (also active in Arizona in recent years). Their main symbol consists of a knight's helmet containing a skull. Behind the skull are two crossed swords, while the words ‘white’ and ""knight"" appear on ""rockers"" above and below the skull.” [1]",1,0.8369999999999999,0.433,0.021,0.1409999999999999
White supremacy,"“Term used in various ways to describe a set of beliefs; organised White hate groups; or a system of racial oppression that benefits White people. As an ideology, it is the belief that the socially constructed “White race” is superior to other “races.” As a system, White supremacy in the U.S. is maintained when White people defend, deny, or ignore the reality of the continued systematic subordination and oppression of people of colour. White supremacy is the most powerful form of racism in the US, and it has two major forms: racism by Whites used to justify the oppression of people of colour; and the racialised construct of antisemitism in which Jews are falsely claimed to be a distinct non-White race, and are then deemed a sinister race.” [15]",1,0.649,0.516,0.95,0.23
ZOG,"Term or expression linked to far-right extremist ideology. It “stands for ‘Zionist-Occupied Government’. These terms refer to the belief that the Jews occupy and control the government, as well as the media. The letters often appear in a circle with a slash over it. JOG for Jewish Occupied Government is a similar phrase also often used for the same purpose.” [32]",11,0.7050909090909091,0.47854545454545455,0.8851818181818181,0.31181818181818177
Zyklon B,"“Name of the gas used to kill over a million victims, most of them Jews, in the death camps constructed by Nazi Germany during the Holocaust. Because of its association with killing Jews, Zyklon B has been adopted as a symbol by modern-day white supremacists, who often use it to make sick jokes about killing Jews.” [1]",5,0.4622,0.8304,0.8118000000000001,0.5753999999999999
NPC,"“Non-playable character, used to describe an aloof out-group”",11,0.6723636363636363,0.47263636363636363,0.8843636363636365,0.27827272727272717
Shekel,“Israeli currency”,10,0.6906,0.4957,0.8715999999999997,0.20529999999999998
Israel,“”,77,0.6514155844155844,0.4901038961038961,0.8088701298701301,0.2866493506493506
Zionist,“”,21,0.5376666666666667,0.5190476190476192,0.780095238095238,0.26028571428571423
